"Week","Week start","Week end","Review date","Planned focus","Planned deliverable","DSA hours","Project/AI hours","Problems solved","Top weak pattern 1","Top weak pattern 2","Top weak pattern 3","Feature completed","Sleep avg","Days below 70","Days above 85","Next-week adjustment","Sunday notes"
"Week 1","2026-04-15","2026-04-19","2026-04-19","Arrays, strings, hashing basics","Freeze scope and write one-page roadmap","","","","","","","","","","","",""
"Week 2","2026-04-20","2026-04-26","2026-04-26","Two pointers and sliding window","8 to 10 solved problems per pattern family","","","","","","","","","","","",""
"Week 3","2026-04-27","2026-05-03","2026-05-03","Binary search, recursion, backtracking","Binary search sheet and recursion review sheet","","","","","","","","","","","",""
"Week 4","2026-05-04","2026-05-10","2026-05-10","Stack, queue, linked list","One end-to-end feature working in full stack app","","","","","","","","","","","",""
"Week 5","2026-05-11","2026-05-17","2026-05-17","Trees, BST, AI module 1 start","Tree traversal cheatsheet and first AI module complete","","","","","","","","","","","",""
"Week 6","2026-05-18","2026-05-24","2026-05-24","Heap, greedy, graph basics, AI continuation","Graph traversal summary and AI notes sheet","","","","","","","","","","","",""
"Week 7","2026-05-25","2026-05-31","2026-05-31","DP basics, mixed revision, AI continuation","Weak-topic list and June carry-forward plan","","","","","","","","","","","",""
"Week 8","2026-06-01","2026-06-07","2026-06-07","DP continuation plus AI modules 6 to 7","Maintain tracker and close first June backlog","","","","","","","","","","","",""
"Week 9","2026-06-08","2026-06-14","2026-06-14","Tree, graph, heap, greedy revision plus AI modules 7 to 8","Refresh core patterns and keep AI on pace","","","","","","","","","","","",""
"Week 10","2026-06-15","2026-06-21","2026-06-21","Mixed pattern revision plus AI modules 9 to 10","One mixed revision sheet and one project cleanup pass","","","","","","","","","","","",""
"Week 11","2026-06-22","2026-06-28","2026-06-28","Mocks, weak-topic repair, AI capstone","Capstone polish and top 10 pattern summary","","","","","","","","","","","",""
"Week 12","2026-06-29","2026-07-02","2026-07-02","Final consolidation and next-plan prep","Close tracker cycle and prepare next sprint","","","","","","","","","","","",""
